time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
2019-01-01T05:00:00Z,Light rain in the morning and afternoon.,rain,2019-01-01T12:44:00Z,2019-01-01T22:41:00Z,0.87,0.019,0.2586,2019-01-01T06:02:00Z,0.99,rain,63.9,1546374000,50.58,1546432500,63.4,1546374000,51.07,1546432500,58.08,0.89,1019.1,2.88,14.77,1546318800,316,0.72,3,1546363800,5.998,213.1,55.94,2019-01-02T04:00:00Z,65.76,2019-01-01T05:00:00Z,56.43,2019-01-02T04:00:00Z,65.92,2019-01-01T05:00:00Z,NA
2019-01-02T05:00:00Z,Rain starting in the afternoon.,rain,2019-01-02T12:44:00Z,2019-01-02T22:42:00Z,0.91,0.015,0.0787,2019-01-03T01:57:00Z,0.96,rain,57.37,1546454280,49.03,1546474680,56.87,1546454280,49.52,1546474680,48.94,0.86,1021.4,2.79,8.09,1546469340,12,0.75,3,1546451400,6.08,220.6,49.03,2019-01-03T00:18:00Z,57.37,2019-01-02T18:38:00Z,49.52,2019-01-03T00:18:00Z,56.87,2019-01-02T18:38:00Z,NA
2019-01-03T05:00:00Z,Rain throughout the day.,rain,2019-01-03T12:44:00Z,2019-01-03T22:42:00Z,0.94,0.0124,0.0845,2019-01-03T05:54:00Z,0.99,rain,55.3,1546552680,53.08,1546563780,54.8,1546552680,53.57,1546563780,50.41,0.92,1017.1,2.85,8.71,1546538880,355,0.97,3,1546537620,5.418,240.2,50.05,2019-01-03T08:50:00Z,55.3,2019-01-03T21:58:00Z,50.54,2019-01-03T08:50:00Z,54.8,2019-01-03T21:58:00Z,NA
2019-01-04T05:00:00Z,Heavy rain in the morning and afternoon.,rain,2019-01-04T12:44:00Z,2019-01-04T22:43:00Z,0.97,0.048,0.2716,2019-01-04T13:58:00Z,0.99,rain,64.98,1546631700,42.95,1546685820,64.48,1546631700,38.67,1546684620,49.99,0.85,1009.4,6.94,23.05,1546632300,214,0.79,3,1546624020,5.967,256.7,45.02,2019-01-05T04:00:00Z,64.98,2019-01-04T19:55:00Z,41.26,2019-01-05T03:07:00Z,64.48,2019-01-04T19:55:00Z,NA
2019-01-05T05:00:00Z,Clear throughout the day.,partly-cloudy-day,2019-01-05T12:44:00Z,2019-01-05T22:44:00Z,0,1e-4,3e-4,2019-01-05T20:00:00Z,0.05,rain,58.64,1546721700,42.52,1546772580,58.14,1546721700,41.13,1546772400,36.5,0.63,1016.1,7.43,21.95,1546664580,291,0.35,4,1546710960,8.409,269.1,42.95,2019-01-05T10:57:00Z,58.64,2019-01-05T20:55:00Z,38.67,2019-01-05T10:37:00Z,58.14,2019-01-05T20:55:00Z,NA
2019-01-06T05:00:00Z,Clear throughout the day.,clear-day,2019-01-06T12:44:00Z,2019-01-06T22:45:00Z,0.03,1e-4,3e-4,2019-01-06T23:44:00Z,0.04,rain,69.61,1546804440,42,1546858620,69.11,1546804440,42.49,1546858620,38.65,0.59,1021.7,3.46,10.39,1546750800,315,0.04,4,1546797000,8.853,226.4,42.52,2019-01-06T11:03:00Z,69.61,2019-01-06T19:54:00Z,41.13,2019-01-06T11:00:00Z,69.11,2019-01-06T19:54:00Z,NA
2019-01-07T05:00:00Z,Clear throughout the day.,clear-day,2019-01-07T12:44:00Z,2019-01-07T22:46:00Z,0.06,1e-4,2e-4,2019-01-07T09:00:00Z,0.01,rain,69.48,1546891260,47.24,1546944960,68.98,1546891260,46.32,1546945020,41.13,0.63,1023,3.61,12.26,1546894500,146,0.26,4,1546882980,9.759,210.1,42,2019-01-07T10:57:00Z,69.48,2019-01-07T20:01:00Z,42.49,2019-01-07T10:57:00Z,68.98,2019-01-07T20:01:00Z,NA
2019-01-08T05:00:00Z,Mostly cloudy throughout the day.,partly-cloudy-day,2019-01-08T12:44:00Z,2019-01-08T22:47:00Z,0.09,1e-4,7e-4,2019-01-08T14:59:00Z,0.18,rain,64.26,1546980420,41.9,1547038800,63.76,1546980420,37.75,1547038800,48.65,0.77,1019.9,5.01,16.56,1547006400,240,0.51,3,1546969140,8.091,230.9,47.24,2019-01-08T10:56:00Z,64.26,2019-01-08T20:47:00Z,46.32,2019-01-08T10:57:00Z,63.76,2019-01-08T20:47:00Z,NA
2019-01-09T05:00:00Z,Clear throughout the day.,clear-day,2019-01-09T12:44:00Z,2019-01-09T22:47:00Z,0.12,0,0,2019-01-10T02:57:00Z,0,NA,52.44,1547063760,28.9,1547124720,51.94,1547063760,22.2,1547124720,21.17,0.36,1020.8,9.79,26.28,1547092800,320,0.01,4,1547056020,9.954,245,39.96,2019-01-10T04:00:00Z,55.97,2019-01-09T05:00:00Z,33.84,2019-01-10T04:00:00Z,55.47,2019-01-09T05:00:00Z,NA
2019-01-10T05:00:00Z,Clear throughout the day.,clear-day,2019-01-10T12:44:00Z,2019-01-10T22:48:00Z,0.15,1e-4,2e-4,2019-01-10T13:54:00Z,0.02,rain,45.43,1547150640,28.91,1547207940,40.93,1547150820,26.05,1547203440,17.65,0.46,1022.7,7.91,25.1,1547099700,330,0.18,4,1547143140,9.808,257.3,28.9,2019-01-10T12:52:00Z,45.43,2019-01-10T20:04:00Z,22.2,2019-01-10T12:52:00Z,40.93,2019-01-10T20:07:00Z,NA
