Year,Cases,Deaths
1950,319124,468
1951,530118,683
1952,683077,618
1953,449146,462
1954,682720,518
1955,555156,345
1956,611936,530
1957,486799,389
1958,763094,552
1959,406162,385
1960,441703,380
1960,423919,434
1962,481530,408
1963,385156,364
1964,458083,421
1965,261904,276
1966,204136,261
1967,62705,81
1968,22231,24
1969,25826,41
1970,47351,89
1971,75290,90
1972,32275,24
1973,26690,23
1974,22094,20
1975,24374,20
1976,41126,12
1977,57345,15
1978,26871,11
1979,13597,6
1980,13506,11
1981,3124,2
1982,1714,2
1983,1497,4
1984,2587,1
1985,2822,4
1986,6282,2
1987,3655,2
1988,3396,3
1989,18193,32
1990,27786,64
1991,9643,27
1992,2237,4
1993,312,0
1994,963,0
1995,309,2
1996,508,1
1997,138,2
1998,100,0
1999,100,2
2000,86,1
2001,116,1
2002,44,0
2003,56,1
2004,37,0
2005,66,NA
2006,55,0
2007,43,0
2008,140,0
2009,71,2
2010,63,2
2011,220,0
2012,55,2
2013,187,0
2014,667,0
2015,188,NA
2016,85,NA
