lemma,n
Harry,1315
Ron,423
Hagrid,258
Professor,167
Snape,154
Hermione,153
Dumbledore,144
time,138
Dudley,136
uncle,122
door,120
eye,116
Vernon,116
head,115
Neville,110
Potter,107
hand,103
thing,103
boy,99
way,99
face,98
people,97
McGonagall,95
Malfoy,93
room,93
Quirrell,90
year,86
Dursley,82
house,82
Gryffindor,81
Mr.,81
one,76
day,70
book,67
letter,67
school,66
aunt,65
bit,64
foot,64
voice,64
cloak,62
Hogwarts,59
Petunia,58
wand,58
floor,57
ter,55
point,54
lot,53
owl,53
Quidditch,53
name,52
Slytherin,52
wall,52
wizard,52
end,50
moment,50
night,50
table,50
air,47
Stone,47
broom,46
Weasley,46
minute,45
magic,44
Mrs.,44
word,43
dragon,42
Filch,42
window,42
bed,41
hat,41
mirror,40
arm,39
corridor,39
family,39
hair,39
hall,39
leg,39
life,39
place,39
fire,38
man,38
side,37
back,36
forest,35
troll,35
Voldemort,35
week,35
broomstick,34
father,34
ground,34
mind,34
mother,34
Percy,34
train,34
stone,33
team,33
yeh,33
Fred,32
Madam,32
morning,32
front,31
glass,31
Hagro,31
nose,31
cat,30
class,30
dog,30
George,30
heart,29
student,29
teacher,29
wood,29
Wood,29
look,28
note,28
tree,28
Flamel,27
light,27
pocket,27
sort,27
twin,27
corner,26
Gringotts,26
Christmas,25
friend,25
Granger,25
Norbert,25
platform,25
seat,25
sight,25
world,25
fluffy,24
parent,24
question,24
top,24
ball,23
castle,23
idea,23
match,23
noise,23
reason,23
shop,23
street,23
blood,22
car,22
Charlie,22
cup,22
game,22
hour,22
mouth,22
neck,22
silver,22
thousand,22
Crabbe,21
ghost,21
Peeves,21
rest,21
step,21
woman,21
cauldron,20
cupboard,20
Dursleys,20
field,20
Flitwick,20
Goyle,20
key,20
Muggle,20
Ollivander,20
pair,20
rob,20
Ronan,20
tonight,20
yer,20
Bludger,19
ear,19
library,19
number,19
Quaffle,19
ceiling,18
crowd,18
girl,18
gold,18
lesson,18
money,18
Muggles,18
pain,18
piece,18
sign,18
snake,18
trouble,18
afternoon,17
bottle,17
card,17
feeling,17
finger,17
line,17
mom,17
package,17
scar,17
seeker,17
Snitch,17
toad,17
boat,16
body,16
chocolate,16
dad,16
giant,16
kitchen,16
knee,16
Nimbus,16
other,16
portrait,16
Privet,16
Seamus,16
spell,16
work,16
birthday,15
brother,15
chamber,15
direction,15
egg,15
fact,15
Firenze,15
goblin,15
hut,15
lamp,15
Nicolas,15
pile,15
rule,15
seconds,15
shoulder,15
Sorcerer,15
sound,15
stuff,15
thanks,15
today,15
two,15
witch,15
age,14
bag,14
breath,14
classroom,14
coat,14
grounds,14
half,14
home,14
invisibility,14
London,14
mail,14
Potion,14
professor,14
silence,14
sister,14
sky,14
smile,14
staircase,14
tail,14
tea,14
unicorn,14
cart,13
case,13
chair,13
dream,13
drive,13
exam,13
Fang,13
Hogwart,13
hole,13
Hufflepuff,13
Norris,13
p,13
paper,13
Pomfrey,13
rock,13
row,13
story,13
trunk,13
cake,12
chance,12
chess,12
crate,12
dark,12
fat,12
Flint,12
lip,12
matter,12
n,12
o'clock,12
path,12
power,12
prefect,12
right,12
Sir,12
stick,12
tower,12
turban,12
wing,12
beard,11
centaur,11
cheer,11
course,11
death,11
dormitory,11
earth,11
edge,11
evening,11
feather,11
food,11
Griphook,11
Gryffindors,11
Hooch,11
horror,11
hundred,11
Jordan,11
mistake,11
none,11
Piers,11
plant,11
quill,11
shock,11
smell,11
sweater,11
term,11
barrier,10
box,10
breakfast,10
business,10
Draco,10
entrance,10
forehead,10
holiday,10
ice,10
job,10
joke,10
lady,10
leaky,10
Lee,10
left,10
luck,10
middle,10
miss,10
passageway,10
player,10
potion,10
practice,10
present,10
rat,10
reflection,10
size,10
sleep,10
sofa,10
son,10
stair,10
stand,10
station,10
stool,10
television,10
toilet,10
tomorrow,10
umbrella,10
vault,10
while,10
asleep,9
baby,9
Bane,9
Baron,9
branch,9
burst,9
compartment,9
crash,9
curse,9
Dark,9
dungeon,9
envelope,9
feast,9
figure,9
flavor,9
footstep,9
Hall,9
Hedwig,9
inch,9
Keeper,9
kind,9
load,9
Longbottom,9
mark,9
mountain,9
news,9
parchment,9
pig,9
plate,9
relief,9
sausage,9
Scabber,9
secret,9
Smelting,9
spot,9
star,9
start,9
storm,9
surprise,9
tooth,9
trapdoor,9
water,9
whisper,9
wind,9
Albus,8
Alley,8
answer,8
bill,8
boot,8
bottom,8
clothes,8
couple,8
desk,8
dinner,8
Don,8
drop,8
fear,8
Figg,8
grass,8
Halloween,8
knight,8
living,8
month,8
motorcycle,8
nerve,8
newspaper,8
nostril,8
parcel,8
person,8
post,8
problem,8
Ravenclaw,8
Remembrall,8
robe,8
set,8
shelf,8
stranger,8
summer,8
sweet,8
tear,8
ticket,8
truth,8
wands,8
a,7
animal,7
armchair,7
armor,7
Arts,7
attention,7
bacon,7
bedroom,7
binocular,7
bird,7
blanket,7
bye,7
Chaser,7
chessman,7
clearing,7
club,7
crack,7
darkness,7
Dean,7
detention,7
Diagon,7
doorway,7
dragons,7
Finnigan,7
flash,7
go,7
goal,7
guard,7
history,7
homework,7
know,7
list,7
locker,7
Malkin,7
midair,7
Ministry,7
Mirror,7
movement,7
purple,7
road,7
roll,7
rubbish,7
Saturday,7
sea,7
shoulders,7
sir,7
Slytherins,7
snout,7
Sorting,7
spark,7
study,7
thought,7
uniform,7
Weasleys,7
werewolf,7
yesterday,7
zoo,7
bathrobe,6
be,6
beans,6
bloody,6
board,6
break,6
bundle,6
Chasers,6
chest,6
computer,6
courage,6
cross,6
difference,6
fer,6
flame,6
flute,6
Frogs,6
garden,6
grin,6
H.,6
handle,6
high,6
hold,6
hoops,6
horse,6
hospital,6
inside,6
kid,6
lake,6
laughter,6
lead,6
lemon,6
lock,6
master,6
midnight,6
moon,6
moonlight,6
planet,6
possession,6
quarter,6
racing,6
sandwich,6
second,6
section,6
sense,6
shadows,6
sheet,6
sleeve,6
smoke,6
stomach,6
tap,6
telephone,6
throat,6
town,6
trophy,6
up,6
view,6
watch,6
whistle,6
Wizard,6
wonder,6
wrist,6
awake,5
bat,5
bathroom,5
bell,5
bend,5
bike,5
bin,5
brass,5
bronze,5
brothers,5
candy,5
captain,5
care,5
century,5
change,5
charm,5
cheek,5
coin,5
color,5
control,5
crossbow,5
curtain,5
danger,5
daylight,5
dear,5
Devil,5
Diggle,5
dive,5
Elixir,5
enchantment,5
fang,5
fight,5
folk,5
frog,5
fun,5
funny,5
gamekeeper,5
gang,5
gray,5
halt,5
handkerchief,5
heaven,5
jacket,5
King,5
lap,5
leave,5
lightning,5
map,5
Marcus,5
Marge,5
Mars,5
mile,5
mood,5
music,5
nightmare,5
nos,5
office,5
Oliver,5
opinion,5
order,5
panic,5
part,5
passage,5
pasty,5
Patil,5
photograph,5
pumpkin,5
purpose,5
Ridgeback,5
Romania,5
rope,5
scarlet,5
scream,5
skin,5
Snare,5
soccer,5
sock,5
somethin,5
speed,5
Sprout,5
statue,5
stood,5
subject,5
suit,5
summat,5
sun,5
trash,5
twig,5
twins,5
use,5
warmth,5
yell,5
'ry,4
adventure,4
amazement,4
Angelina,4
anger,4
archway,4
balloon,4
bank,4
banquet,4
bartender,4
beak,4
Beaters,4
bite,4
boa,4
boil,4
Bott,4
bowl,4
brain,4
brick,4
building,4
cage,4
call,4
championship,4
child,4
choice,4
clock,4
cloud,4
clue,4
constrictor,4
counter,4
country,4
creature,4
d,4
date,4
decoration,4
Dedalus,4
Defense,4
delight,4
distance,4
don,4
drink,4
duel,4
Dunno,4
emerald,4
enemy,4
er,4
Erised,4
excitement,4
excuse,4
eyebrow,4
faint,4
fault,4
fireplace,4
fool,4
freckle,4
Friar,4
Friday,4
gasp,4
Ginny,4
glasses,4
goodness,4
grip,4
group,4
hamburger,4
Herbology,4
hope,4
idiot,4
ink,4
interest,4
James,4
jar,4
jet,4
Johnson,4
jump,4
leapt,4
leather,4
listen,4
live,4
Lord,4
lump,4
madam,4
magical,4
marble,4
mixture,4
mum,4
mustache,4
need,4
needle,4
Nick,4
nonsense,4
notice,4
oak,4
owlery,4
pack,4
party,4
Parvati,4
Peeve,4
peppermint,4
pie,4
piercing,4
pipe,4
plan,4
plump,4
potato,4
queen,4
rage,4
report,4
result,4
roar,4
roof,4
root,4
rumor,4
run,4
rustling,4
September,4
Severus,4
shadow,4
shoot,4
shriek,4
space,4
sport,4
stare,4
tabby,4
tape,4
temper,4
toast,4
touch,4
track,4
training,4
Transfiguration,4
trip,4
turkey,4
turn,4
underground,4
weather,4
wild,4
wine,4
address,3
advice,3
Agrippa,3
alchemy,3
Algie,3
ankle,3
Apothecary,3
b,3
babble,3
badge,3
banner,3
bar,3
bean,3
beetle,3
bet,3
Bettie,3
bezoar,3
Binns,3
bishop,3
blond,3
Bludgers,3
bolt,3
bounds,3
bravery,3
Brazil,3
breaking,3
Brilliant,3
Britain,3
bunch,3
cabbage,3
camera,3
candle,3
Charms,3
chatter,3
chicken,3
chip,3
cliff,3
confusion,3
contact,3
cough,3
countryside,3
cousin,3
cracker,3
cream,3
Crockford,3
cut,3
dean,3
desperate,3
difficulty,3
doormat,3
Doris,3
dozen,3
drill,3
drills,3
Drive,3
effort,3
engine,3
equipment,3
event,3
every,3
favorite,3
fierce,3
firs,3
fist,3
fists,3
fleet,3
flutter,3
fly,3
fork,3
foul,3
frame,3
Frog,3
fudge,3
Fungi,3
Galleons,3
goblet,3
grandfather,3
growl,3
ha,3
haircut,3
Ham,3
Hannah,3
heel,3
help,3
HIM!,3
House,3
howl,3
Hufflepuffs,3
human,3
ingredient,3
jam,3
jaw,3
jewel,3
journey,3
July,3
kettle,3
keyhole,3
king,3
knickerbocker,3
knuckle,3
Knut,3
Knuts,3
leap,3
let,3
level,3
Leviosa,3
lion,3
lit,3
little,3
logic,3
lunch,3
marking,3
meal,3
measure,3
mercy,3
Merry,3
metal,3
Midnight,3
minds,3
mommy,3
Monday,3
mouse,3
myst,3
nail,3
neighbor,3
ng,3
Nicholas,3
once,3
out,3
outer,3
owner,3
page,3
parking,3
partner,3
password,3
pause,3
pea,3
penalty,3
pewter,3
picture,3
pillow,3
pink,3
play,3
poison,3
pop,3
postcard,3
poster,3
Potters,3
Prefect,3
Prophet,3
pub,3
Pucey,3
punishment,3
put,3
rabbit,3
rain,3
rang,3
rattling,3
ready,3
record,3
Red,3
referee,3
reptile,3
restaurant,3
rib,3
Ronald,3
Rubeus,3
ruff,3
say,3
Scabbers,3
scale,3
School,3
score,3
scraping,3
seven,3
shame,3
shape,3
shot,3
shout,3
silk,3
sit,3
sleeping,3
slot,3
slug,3
snow,3
song,3
soon,3
soul,3
spider,3
square,3
stack,3
stamp,3
steak,3
steep,3
Stonewall,3
stop,3
strange,3
strength,3
sunlight,3
take,3
talk,3
tank,3
tantrum,3
tart,3
teapot,3
telescope,3
test,3
thirty,3
Thomas,3
title,3
toadless,3
tongue,3
towering,3
traffic,3
treacle,3
trembling,3
trick,3
trousers,3
Tuesday,3
vampire,3
video,3
village,3
violet,3
visitor,3
Vol,3
waist,3
wave,3
Wednesday,3
white,3
wife,3
Wingardium,3
Wizardry,3
wound,3
you,3
accident,2
ag,2
ahead,2
airplane,2
ajar,2
alarm,2
Alas,2
Alohomora,2
ambition,2
angles,2
appearance,2
applause,2
argument,2
arms,2
arrival,2
arrow,2
art,2
asphodel,2
astronomy,2
Auntie,2
baggy,2
bang,2
bark,2
barn,2
barrel,2
bars,2
basket,2
battle,2
beast,2
beef,2
behind,2
benefit,2
biscuit,2
bits,2
boarhound,2
bomb,2
Bones,2
bonnet,2
booger,2
boxes,2
brandy,2
breeding,2
breeze,2
Brown,2
bubble,2
bucket,2
buckle,2
bulging,2
bullet,2
bun,2
burn,2
bush,2
cannon,2
Cara,2
caretaker,2
caution,2
Ceremony,2
chalk,2
Charm,2
chimney,2
choking,2
chop,2
circumstance,2
claw,2
clever,2
closer,2
coconut,2
come,2
company,2
copper,2
countercurse,2
courtyard,2
creep,2
crime,2
crunching,2
damage,2
dawn,2
de,2
deal,2
defeat,2
dense,2
depth,2
desire,2
dessert,2
development,2
director,2
discovery,2
disgust,2
doorknob,2
doorstep,2
doubt,2
doughnut,2
drew,2
drinker,2
dull,2
DUMBLEDORE,2
dunderhead,2
dust,2
eagle,2
ears,2
earshot,2
Eeylops,2
Emetic,2
Emporium,2
England,2
escalator,2
evil,2
exams,2
exercise,2
Express,2
expression,2
F,2
fall,2
fame,2
few,2
fifth,2
fighting,2
finer,2
Fir,2
firecracker,2
firework,2
firm,2
first,2
flew,2
flicker,2
flight,2
fluttering,2
follower,2
footstool,2
force,2
Force,2
Forest,2
fortune,2
fury,2
future,2
Galleon,2
gallery,2
gallop,2
gap,2
garlic,2
gateway,2
genius,2
gift,2
glance,2
glee,2
gloom,2
glory,2
glove,2
goin,2
golden,2
golf,2
good,2
grade,2
gran,2
grandmother,2
grate,2
gravy,2
Great,2
green,2
Grindelwald,2
grubby,2
Grunnings,2
guarding,2
guide,2
gulp,2
hairy,2
halfway,2
hammer,2
handful,2
harbor,2
hawk,2
he,2
Headless,2
headmaster,2
heap,2
heartstring,2
herb,2
herbs,2
hero,2
Higgs,2
hinge,2
hocus,2
honor,2
hook,2
horn,2
hotel,2
huddle,2
HUFFLEPUFF,2
humbug,2
hunger,2
hurry,2
Ickle,2
icy,2
imagination,2
in,2
inche,2
infusion,2
inter,2
Jim,2
jolt,2
Kent,2
ketchup,2
kill,2
kitchens,2
knack,2
land,2
landing,2
Las,2
laugh,2
law,2
lawn,2
length,2
lid,2
lie,2
Life,2
Lily,2
liver,2
lucky,2
lumpy,2
lunchtime,2
lurking,2
Malfay,2
mane,2
marmalade,2
memory,2
mention,2
Merlin,2
meself,2
mice,2
Mighta,2
Mimsy,2
misery,2
misty,2
moan,2
moleskin,2
Mom,2
monkshood,2
moons,2
Morgana,2
mouthful,2
move,2
Mrs,2
mutter,2
nasty,2
nearer,2
nephew,2
nighttime,2
nine,2
not,2
noticing,2
nut,2
object,2
occasion,2
off,2
opposite,2
Ouch,2
ounce,2
overcoat,2
Owl,2
Owls,2
pace,2
pajama,2
pale,2
papers,2
Parkinson,2
passing,2
patch,2
paws,2
peace,2
pence,2
Perenelle,2
photo,2
Pier,2
pitch,2
plastic,2
poker,2
Polkiss,2
porridge,2
postage,2
pound,2
President,2
program,2
protection,2
pudding,2
puncture,2
pupil,2
racket,2
ration,2
Ravenclaws,2
