gutenberg_id,text,title
514,LITTLE WOMEN,Little Women
514,,Little Women
514,,Little Women
514,by,Little Women
514,,Little Women
514,Louisa May Alcott,Little Women
514,,Little Women
514,,Little Women
514,,Little Women
514,,Little Women
514,CONTENTS,Little Women
514,,Little Women
514,,Little Women
514,PART 1,Little Women
514,,Little Women
514,          ONE  PLAYING PILGRIMS,Little Women
514,          TWO  A MERRY CHRISTMAS,Little Women
514,        THREE  THE LAURENCE BOY,Little Women
514,         FOUR  BURDENS,Little Women
514,         FIVE  BEING NEIGHBORLY,Little Women
514,          SIX  BETH FINDS THE PALACE BEAUTIFUL,Little Women
514,        SEVEN  AMY'S VALLEY OF HUMILIATION,Little Women
514,        EIGHT  JO MEETS APOLLYON,Little Women
514,         NINE  MEG GOES TO VANITY FAIR,Little Women
514,          TEN  THE P.C. AND P.O.,Little Women
514,       ELEVEN  EXPERIMENTS,Little Women
514,       TWELVE  CAMP LAURENCE,Little Women
514,     THIRTEEN  CASTLES IN THE AIR,Little Women
514,     FOURTEEN  SECRETS,Little Women
514,      FIFTEEN  A TELEGRAM,Little Women
514,      SIXTEEN  LETTERS,Little Women
514,    SEVENTEEN  LITTLE FAITHFUL,Little Women
514,     EIGHTEEN  DARK DAYS,Little Women
514,     NINETEEN  AMY'S WILL,Little Women
514,       TWENTY  CONFIDENTIAL,Little Women
514,"   TWENTY-ONE  LAURIE MAKES MISCHIEF, AND JO MAKES PEACE",Little Women
514,   TWENTY-TWO  PLEASANT MEADOWS,Little Women
514, TWENTY-THREE  AUNT MARCH SETTLES THE QUESTION,Little Women
514,,Little Women
514,,Little Women
514,PART 2,Little Women
514,,Little Women
514,  TWENTY-FOUR  GOSSIP,Little Women
514,  TWENTY-FIVE  THE FIRST WEDDING,Little Women
514,   TWENTY-SIX  ARTISTIC ATTEMPTS,Little Women
514, TWENTY-SEVEN  LITERARY LESSONS,Little Women
514, TWENTY-EIGHT  DOMESTIC EXPERIENCES,Little Women
514,  TWENTY-NINE  CALLS,Little Women
514,       THIRTY  CONSEQUENCES,Little Women
514,   THIRTY-ONE  OUR FOREIGN CORRESPONDENT,Little Women
514,   THIRTY-TWO  TENDER TROUBLES,Little Women
514, THIRTY-THREE  JO'S JOURNAL,Little Women
514,  THIRTY-FOUR  FRIEND,Little Women
514,  THIRTY-FIVE  HEARTACHE,Little Women
514,   THIRTY-SIX  BETH'S SECRET,Little Women
514, THIRTY-SEVEN  NEW IMPRESSIONS,Little Women
514, THIRTY-EIGHT  ON THE SHELF,Little Women
514,  THIRTY-NINE  LAZY LAURENCE,Little Women
514,        FORTY  THE VALLEY OF THE SHADOW,Little Women
514,    FORTY-ONE  LEARNING TO FORGET,Little Women
514,    FORTY-TWO  ALL ALONE,Little Women
514,  FORTY-THREE  SURPRISES,Little Women
514,   FORTY-FOUR  MY LORD AND LADY,Little Women
514,   FORTY-FIVE  DAISY AND DEMI,Little Women
514,    FORTY-SIX  UNDER THE UMBRELLA,Little Women
514,  FORTY-SEVEN  HARVEST TIME,Little Women
514,,Little Women
514,,Little Women
514,,Little Women
514,CHAPTER ONE,Little Women
514,,Little Women
514,PLAYING PILGRIMS,Little Women
514,,Little Women
514,"""Christmas won't be Christmas without any presents,"" grumbled Jo, lying",Little Women
514,on the rug.,Little Women
514,,Little Women
514,"""It's so dreadful to be poor!"" sighed Meg, looking down at her old",Little Women
514,dress.,Little Women
514,,Little Women
514,"""I don't think it's fair for some girls to have plenty of pretty",Little Women
514,"things, and other girls nothing at all,"" added little Amy, with an",Little Women
514,injured sniff.,Little Women
514,,Little Women
514,"""We've got Father and Mother, and each other,"" said Beth contentedly",Little Women
514,from her corner.,Little Women
514,,Little Women
514,The four young faces on which the firelight shone brightened at the,Little Women
514,"cheerful words, but darkened again as Jo said sadly, ""We haven't got",Little Women
514,"Father, and shall not have him for a long time."" She didn't say",Little Women
514,"""perhaps never,"" but each silently added it, thinking of Father far",Little Women
514,"away, where the fighting was.",Little Women
514,,Little Women
514,"Nobody spoke for a minute; then Meg said in an altered tone, ""You know",Little Women
514,the reason Mother proposed not having any presents this Christmas was,Little Women
514,because it is going to be a hard winter for everyone; and she thinks we,Little Women
514,"ought not to spend money for pleasure, when our men are suffering so in",Little Women
514,"the army.  We can't do much, but we can make our little sacrifices, and",Little Women
514,"ought to do it gladly.  But I am afraid I don't,"" and Meg shook her",Little Women
514,"head, as she thought regretfully of all the pretty things she wanted.",Little Women
514,,Little Women
514,"""But I don't think the little we should spend would do any good.  We've",Little Women
514,"each got a dollar, and the army wouldn't be much helped by our giving",Little Women
514,"that.  I agree not to expect anything from Mother or you, but I do want",Little Women
514,"to buy _Undine and Sintran_ for myself.  I've wanted it so long,"" said",Little Women
514,"Jo, who was a bookworm.",Little Women
514,,Little Women
514,"""I planned to spend mine in new music,"" said Beth, with a little sigh,",Little Women
514,which no one heard but the hearth brush and kettle-holder.,Little Women
514,,Little Women
514,"""I shall get a nice box of Faber's drawing pencils; I really need",Little Women
514,"them,"" said Amy decidedly.",Little Women
514,,Little Women
514,"""Mother didn't say anything about our money, and she won't wish us to",Little Women
514,"give up everything.  Let's each buy what we want, and have a little",Little Women
514,"fun; I'm sure we work hard enough to earn it,"" cried Jo, examining the",Little Women
514,heels of her shoes in a gentlemanly manner.,Little Women
514,,Little Women
514,"""I know I do--teaching those tiresome children nearly all day, when I'm",Little Women
514,"longing to enjoy myself at home,"" began Meg, in the complaining tone",Little Women
514,again.,Little Women
514,,Little Women
514,"""You don't have half such a hard time as I do,"" said Jo. ""How would you",Little Women
514,"like to be shut up for hours with a nervous, fussy old lady, who keeps",Little Women
514,"you trotting, is never satisfied, and worries you till you're ready to",Little Women
514,"fly out the window or cry?""",Little Women
514,,Little Women
514,"""It's naughty to fret, but I do think washing dishes and keeping things",Little Women
514,"tidy is the worst work in the world.  It makes me cross, and my hands",Little Women
514,"get so stiff, I can't practice well at all."" And Beth looked at her",Little Women
514,rough hands with a sigh that any one could hear that time.,Little Women
514,,Little Women
514,"""I don't believe any of you suffer as I do,"" cried Amy, ""for you don't",Little Women
514,"have to go to school with impertinent girls, who plague you if you",Little Women
514,"don't know your lessons, and laugh at your dresses, and label your",Little Women
514,"father if he isn't rich, and insult you when your nose isn't nice.""",Little Women
514,,Little Women
514,"""If you mean libel, I'd say so, and not talk about labels, as if Papa",Little Women
514,"was a pickle bottle,"" advised Jo, laughing.",Little Women
514,,Little Women
514,"""I know what I mean, and you needn't be statirical about it. It's",Little Women
514,"proper to use good words, and improve your vocabilary,"" returned Amy,",Little Women
514,with dignity.,Little Women
514,,Little Women
514,"""Don't peck at one another, children.  Don't you wish we had the money",Little Women
514,"Papa lost when we were little, Jo?  Dear me! How happy and good we'd",Little Women
514,"be, if we had no worries!"" said Meg, who could remember better times.",Little Women
514,,Little Women
514,"""You said the other day you thought we were a deal happier than the",Little Women
514,"King children, for they were fighting and fretting all the time, in",Little Women
514,"spite of their money.""",Little Women
514,,Little Women
514,"""So I did, Beth.  Well, I think we are.  For though we do have to work,",Little Women
514,"we make fun of ourselves, and are a pretty jolly set, as Jo would say.""",Little Women
514,,Little Women
514,"""Jo does use such slang words!"" observed Amy, with a reproving look at",Little Women
514,the long figure stretched on the rug.,Little Women
514,,Little Women
514,"Jo immediately sat up, put her hands in her pockets, and began to",Little Women
514,whistle.,Little Women
514,,Little Women
514,"""Don't, Jo.  It's so boyish!""",Little Women
514,,Little Women
514,"""That's why I do it.""",Little Women
514,,Little Women
514,"""I detest rude, unladylike girls!""",Little Women
514,,Little Women
514,"""I hate affected, niminy-piminy chits!""",Little Women
514,,Little Women
514,"""Birds in their little nests agree,"" sang Beth, the peacemaker, with",Little Women
514,"such a funny face that both sharp voices softened to a laugh, and the",Little Women
514,"""pecking"" ended for that time.",Little Women
514,,Little Women
514,"""Really, girls, you are both to be blamed,"" said Meg, beginning to",Little Women
514,"lecture in her elder-sisterly fashion. ""You are old enough to leave off",Little Women
514,"boyish tricks, and to behave better, Josephine.  It didn't matter so",Little Women
514,"much when you were a little girl, but now you are so tall, and turn up",Little Women
514,"your hair, you should remember that you are a young lady.""",Little Women
514,,Little Women
514,"""I'm not!   And if turning up my hair makes me one, I'll wear it in two",Little Women
514,"tails till I'm twenty,"" cried Jo, pulling off her net, and shaking down",Little Women
514,"a chestnut mane.  ""I hate to think I've got to grow up, and be Miss",Little Women
514,"March, and wear long gowns, and look as prim as a China Aster!  It's",Little Women
514,"bad enough to be a girl, anyway, when I like boy's games and work and",Little Women
514,manners!  I can't get over my disappointment in not being a boy.  And,Little Women
514,"it's worse than ever now, for I'm dying to go and fight with Papa. And",Little Women
514,"I can only stay home and knit, like a poky old woman!""",Little Women
514,,Little Women
514,And Jo shook the blue army sock till the needles rattled like,Little Women
514,"castanets, and her ball bounded across the room.",Little Women
514,,Little Women
514,"""Poor Jo!  It's too bad, but it can't be helped.  So you must try to be",Little Women
514,"contented with making your name boyish, and playing brother to us",Little Women
514,"girls,"" said Beth, stroking the rough head with a hand that all the",Little Women
514,dish washing and dusting in the world could not make ungentle in its,Little Women
514,touch.,Little Women
514,,Little Women
514,"""As for you, Amy,"" continued Meg, ""you are altogether too particular",Little Women
