Continent/Country of Nationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,"18,129","17,486","8,943","9,678","13,325","7,693","10,629","15,984","17,501","22,492"
Asia,"10,086","23,564","44,819","58,309","52,695","44,583","44,416","48,840","47,197","43,115"
Europe,"9,615","4,192","2,059","1,693","1,238",996,908,482,818,"2,164"
North America,"3,145","2,922","4,177","4,800","4,856","2,930","1,948","4,206","4,066","1,528"
Oceania,-,-,-,-,-,-,-,-,-,-
South America,119,54,100,57,126,46,130,233,252,522
Unknown,-,-,9,65,"1,053",136,148,164,141,99
Afghanistan,651,441,576,349,515,428,481,661,753,910
Angola,13,4,-,8,-,D,-,6,-,5
Armenia,87,29,9,4,D,15,8,3,10,49
Azerbaijan,77,78,30,38,18,16,10,3,15,18
Belarus,350,219,111,146,103,66,83,10,46,98
Bhutan,3,-,"5,320","13,452","12,363","14,999","15,070","9,134","8,434","5,775"
Bosnia-Herzegovina,16,D,-,-,-,-,-,-,-,-
Burma,"1,612","13,896","18,139","18,202","16,693","16,972","14,160","16,299","14,598","18,386"
Burundi,466,"4,545","2,889",762,530,110,186,193,68,"1,186"
Cambodia,9,15,8,15,9,5,6,30,44,-
Cameroon,29,5,D,4,6,-,7,-,5,8
Central African Republic,23,15,56,59,45,182,136,318,25,270
Chad,4,10,23,6,28,25,12,32,21,16
"China, People's Republic",21,27,50,54,72,28,54,101,53,30
Colombia,115,54,94,57,123,46,126,230,252,521
"Congo, Democratic Republic",405,848,727,"1,135","3,174",977,"1,863","2,563","4,540","7,876"
"Congo, Republic",66,206,197,293,154,27,102,161,30,52
Cote d'Ivoire,23,11,30,9,4,7,33,20,42,28
Cuba,"3,143","2,922","4,177","4,800","4,818","2,920","1,948","4,205","4,062","1,527"
Egypt,D,3,5,7,15,6,13,3,21,13
Equatorial Guinea,11,14,-,9,9,-,-,-,-,D
Eritrea,538,963,251,"1,571","2,570","2,032","1,346","1,824","1,488","1,596"
Ethiopia,"1,271","1,028",299,321,668,560,620,765,728,626
Gambia,6,13,6,10,10,7,D,11,D,3
Georgia,4,7,20,4,4,20,7,D,13,9
Haiti,-,-,-,-,18,-,-,-,4,-
Honduras,-,-,-,-,20,5,-,-,-,-
Indonesia,10,-,-,-,-,D,-,-,D,3
Iran,"2,792","5,482","5,270","5,381","3,543","2,032","1,758","2,579","2,846","3,109"
Iraq,202,"1,608","13,822","18,838","18,016","9,388","12,163","19,487","19,769","12,676"
Jordan,-,3,-,-,7,3,3,13,7,D
Kazakhstan,124,45,62,52,46,53,7,11,24,58
Kenya,5,-,-,D,-,D,23,5,21,3
"Korea, North",9,22,37,25,8,23,22,17,8,15
Kuwait,-,24,D,7,40,5,3,12,12,4
Kyrgyzstan,15,17,25,46,27,30,49,19,8,17
Laos,830,117,59,14,36,211,21,-,-,-
Latvia,21,17,6,D,-,4,-,-,-,-
Liberia,"2,346","1,606",992,385,244,121,69,94,31,12
Mauritania,88,62,26,16,74,3,-,-,4,-
Moldova,721,565,487,445,356,331,255,119,142,333
Nepal,D,3,4,7,-,10,47,34,47,26
Nigeria,15,20,76,3,D,D,D,D,4,4
Pakistan,20,30,104,67,59,54,274,158,240,159
Russia,"6,003","1,773",426,495,326,165,197,125,139,281
Rwanda,112,202,108,111,230,74,157,139,45,173
Serbia,11,-,D,-,-,-,-,-,-,-
Sierra Leone,439,166,99,51,54,28,D,4,6,6
Somalia,"10,357","6,969","2,523","4,189","4,884","3,161","4,911","7,608","9,000","8,858"
South Sudan,X,X,X,X,X,-,D,17,57,79
Sri Lanka,6,D,D,33,118,69,55,92,57,89
Sudan,"1,848",705,375,683,558,334,"1,077","2,160","1,315","1,578"
Syria,27,17,24,25,25,29,31,36,105,"1,682"
Togo,18,40,204,14,9,5,26,18,26,D
Uganda,20,38,42,8,30,10,18,15,5,67
Ukraine,"2,483","1,605","1,022",601,449,428,372,227,490,"1,451"
Uzbekistan,527,190,134,152,185,96,140,51,69,43
Vietnam,"3,039","1,500","1,112","1,486",873,79,41,69,67,22
Yemen,11,6,-,47,15,-,-,12,D,16
Zimbabwe,13,D,3,10,7,8,3,12,D,7
Other,36,28,34,28,49,36,32,37,32,43
Unknown,-,-,9,65,"1,053",136,148,164,141,99
Total,"41,094","48,218","60,107","74,602","73,293","56,384","58,179","69,909","69,975","69,920"
