gutenberg_id,text,title
1513,ROMEO AND JULIET,Romeo and Juliet
1513,,Romeo and Juliet
1513,by William Shakespeare,Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,PERSONS REPRESENTED,Romeo and Juliet
1513,,Romeo and Juliet
1513,"Escalus, Prince of Verona.",Romeo and Juliet
1513,"Paris, a young Nobleman, kinsman to the Prince.",Romeo and Juliet
1513,"Montague,}Heads of two Houses at variance with each other.",Romeo and Juliet
1513,"Capulet, }",Romeo and Juliet
1513,"An Old Man, Uncle to Capulet.",Romeo and Juliet
1513,"Romeo, Son to Montague.",Romeo and Juliet
1513,"Mercutio, Kinsman to the Prince, and Friend to Romeo.",Romeo and Juliet
1513,"Benvolio, Nephew to Montague, and Friend to Romeo.",Romeo and Juliet
1513,"Tybalt, Nephew to Lady Capulet.",Romeo and Juliet
1513,"Friar Lawrence, a Franciscan.",Romeo and Juliet
1513,"Friar John, of the same Order.",Romeo and Juliet
1513,"Balthasar, Servant to Romeo.",Romeo and Juliet
1513,"Sampson, Servant to Capulet.",Romeo and Juliet
1513,"Gregory, Servant to Capulet.",Romeo and Juliet
1513,"Peter, Servant to Juliet's Nurse.",Romeo and Juliet
1513,"Abraham, Servant to Montague.",Romeo and Juliet
1513,An Apothecary.,Romeo and Juliet
1513,Three Musicians.,Romeo and Juliet
1513,Chorus.,Romeo and Juliet
1513,Page to Paris; another Page.,Romeo and Juliet
1513,An Officer.,Romeo and Juliet
1513,,Romeo and Juliet
1513,"Lady Montague, Wife to Montague.",Romeo and Juliet
1513,"Lady Capulet, Wife to Capulet.",Romeo and Juliet
1513,"Juliet, Daughter to Capulet.",Romeo and Juliet
1513,Nurse to Juliet.,Romeo and Juliet
1513,,Romeo and Juliet
1513,"Citizens of Verona; several Men and Women, relations to both",Romeo and Juliet
1513,"houses; Maskers, Guards, Watchmen, and Attendants.",Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,"SCENE.--During the greater part of the Play in Verona; once, in",Romeo and Juliet
1513,"the Fifth Act, at Mantua.",Romeo and Juliet
1513,,Romeo and Juliet
1513,THE PROLOGUE,Romeo and Juliet
1513,,Romeo and Juliet
1513,[Enter Chorus.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Chor.,Romeo and Juliet
1513,"Two households, both alike in dignity,",Romeo and Juliet
1513,"  In fair Verona, where we lay our scene,",Romeo and Juliet
1513,"From ancient grudge break to new mutiny,",Romeo and Juliet
1513,  Where civil blood makes civil hands unclean.,Romeo and Juliet
1513,From forth the fatal loins of these two foes,Romeo and Juliet
1513,  A pair of star-cross'd lovers take their life;,Romeo and Juliet
1513,Whose misadventur'd piteous overthrows,Romeo and Juliet
1513,  Doth with their death bury their parents' strife.,Romeo and Juliet
1513,"The fearful passage of their death-mark'd love,",Romeo and Juliet
1513,"  And the continuance of their parents' rage,",Romeo and Juliet
1513,"Which but their children's end naught could remove,",Romeo and Juliet
1513,  Is now the two hours' traffic of our stage;,Romeo and Juliet
1513,"The which, if you with patient ears attend,",Romeo and Juliet
1513,"What here shall miss, our toil shall strive to mend.",Romeo and Juliet
1513,,Romeo and Juliet
1513,,Romeo and Juliet
1513,ACT I.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Scene I. A public place.,Romeo and Juliet
1513,,Romeo and Juliet
1513,[Enter Sampson and Gregory armed with swords and bucklers.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"Gregory, o' my word, we'll not carry coals.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,"No, for then we should be colliers.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"I mean, an we be in choler we'll draw.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,"Ay, while you live, draw your neck out o' the collar.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"I strike quickly, being moved.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,But thou art not quickly moved to strike.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,A dog of the house of Montague moves me.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,To move is to stir; and to be valiant is to stand:,Romeo and Juliet
1513,"therefore, if thou art moved, thou runn'st away.",Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,A dog of that house shall move me to stand:,Romeo and Juliet
1513,I will take the wall of any man or maid of Montague's.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,That shows thee a weak slave; for the weakest goes to the,Romeo and Juliet
1513,wall.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"True; and therefore women, being the weaker vessels,",Romeo and Juliet
1513,are ever thrust to the wall: therefore I will push Montague's men,Romeo and Juliet
1513,from the wall and thrust his maids to the wall.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,The quarrel is between our masters and us their men.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"'Tis all one, I will show myself a tyrant:",Romeo and Juliet
1513,"when I have fought with the men I will be cruel with the maids,",Romeo and Juliet
1513,I will cut off their heads.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,The heads of the maids?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"Ay, the heads of the maids, or their maidenheads;",Romeo and Juliet
1513,take it in what sense thou wilt.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,They must take it in sense that feel it.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,Me they shall feel while I am able to stand:,Romeo and Juliet
1513,and 'tis known I am a pretty piece of flesh.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,"'Tis well thou art not fish; if thou hadst,",Romeo and Juliet
1513,thou hadst been poor-John.--Draw thy tool;,Romeo and Juliet
1513,Here comes two of the house of Montagues.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,My naked weapon is out: quarrel! I will back thee.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,How! turn thy back and run?,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,Fear me not.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,"No, marry; I fear thee!",Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,Let us take the law of our sides; let them begin.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Gregory.,Romeo and Juliet
1513,I will frown as I pass by; and let them take it as they,Romeo and Juliet
1513,list.,Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"Nay, as they dare. I will bite my thumb at them; which is",Romeo and Juliet
1513,disgrace to them if they bear it.,Romeo and Juliet
1513,,Romeo and Juliet
1513,[Enter Abraham and Balthasar.],Romeo and Juliet
1513,,Romeo and Juliet
1513,Abraham.,Romeo and Juliet
1513,"Do you bite your thumb at us, sir?",Romeo and Juliet
1513,,Romeo and Juliet
1513,Sampson.,Romeo and Juliet
1513,"I do bite my thumb, sir.",Romeo and Juliet
1513,,Romeo and Juliet
