iso2c,country,year,SP.POP.TOTL,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,iso3c,region,capital,longitude,latitude,income,lending
1A,Arab World,1998,270575803,3.34996718461185,4709.02268321806,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2001,288432163,3.60795614877388,4818.30263415634,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2002,294665185,3.60461275396345,4743.91415189627,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1999,276393837,3.32834105848749,4692.67004336839,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2009,346629220,4.56201512382597,5810.97825997386,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2010,354890042,4.63681343868195,5946.38095009835,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2003,301113849,3.79646741189908,4889.42721551184,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2000,282344154,3.70385708074551,4845.42460501567,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2013,379705719,4.67492482250445,6337.59465503385,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2014,387907748,4.88698751329195,6354.92915640713,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2011,363158703,4.55946165497788,6021.90503833961,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2012,371443547,4.83777959400113,6279.59194179808,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2004,307862843,4.06856241498426,5227.50634737419,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2005,314965793,4.1856773062337,5403.33080565168,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2015,396028278,NA,6430.4293635411,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1997,264822188,3.14553220517912,4570.64144437052,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2008,338395961,4.40894827346949,5927.086387313,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1995,253107289,3.42400952386195,4385.48402647477,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1996,259000953,3.32830368134896,4482.5754801606,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2006,322452754,4.28571918166964,5620.80181007526,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2007,330290716,4.11714754949394,5738.41873259117,ARB,Aggregates,,,,Aggregates,Aggregates
1W,World,2003,6351967145,4.25817567732397,8427.92106273865,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2004,6431666173,4.41465403151607,8689.82624845504,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1995,5706810231,4.03684776564984,7383.46282232878,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2002,6272813883,4.0885954020581,8289.16185932699,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2007,6674426937,4.67163717489354,9474.63560877448,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2008,6757185028,4.76257374433998,9531.74056305558,WLD,Aggregates,,,,Aggregates,Aggregates
