iso2c,country,year,SP.DYN.LE00.IN,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,iso3c,region,capital,longitude,latitude,income,lending
1A,Arab World,1998,67.2180914626095,78.302779397663,3.34996718461185,4709.02268321806,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2001,68.0725185170594,80.0230468842826,3.60795614877388,4818.30263415634,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2002,68.3402459940492,77.99911115703,3.60461275396345,4743.91415189627,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1999,67.517688947424,78.980861204439,3.32834105848749,4692.67004336839,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2009,70.1575600376968,84.270921268469,4.56201512382597,5810.97825997386,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2010,70.3499162262039,86.9599909576562,4.63681343868195,5946.38095009835,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2003,68.6105053811856,79.3063105601193,3.79646741189908,4889.42721551184,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2000,67.8005911153485,78.4793636989698,3.70385708074551,4845.42460501567,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2013,70.8822537420776,88.1298813951524,4.67492482250445,6337.59465503385,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2014,71.0642924303822,87.2753225444746,4.88698751329195,6354.92915640713,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2011,70.5287748030398,87.1994742750379,4.55946165497788,6021.90503833961,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2012,70.7038265981398,87.512260241612,4.83777959400113,6279.59194179808,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2004,68.8861877240216,79.5371839854357,4.06856241498426,5227.50634737419,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2005,69.1646828025353,80.5747275507832,4.1856773062337,5403.33080565168,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2015,71.249571410287,88.7200973716188,NA,6430.4293635411,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1997,66.8971449635784,77.2978507128035,3.14553220517912,4570.64144437052,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2008,69.9421742706232,83.6449921024328,4.40894827346949,5927.086387313,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1995,66.1960998468045,NA,3.42400952386195,4385.48402647477,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,1996,66.554102867301,NA,3.32830368134896,4482.5754801606,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2006,69.4394591943507,84.6212058977181,4.28571918166964,5620.80181007526,ARB,Aggregates,,,,Aggregates,Aggregates
1A,Arab World,2007,69.7015546491534,82.9268784401299,4.11714754949394,5738.41873259117,ARB,Aggregates,,,,Aggregates,Aggregates
1W,World,2003,68.3269909859311,79.839921241292,4.25817567732397,8427.92106273865,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2004,68.6523458862461,80.0054138403622,4.41465403151607,8689.82624845504,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1995,66.2781440722954,NA,4.03684776564984,7383.46282232878,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2002,68.0704254931116,79.2255313108542,4.0885954020581,8289.16185932699,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2007,69.5920781966474,82.2853759391848,4.67163717489354,9474.63560877448,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2008,69.8993034310335,82.2361481351253,4.76257374433998,9531.74056305558,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2005,68.9203232526539,80.3147166658273,4.52863727345848,8918.63297060054,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2006,69.2624252997287,81.2385108126716,4.63650717208789,9194.64825366952,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1998,67.0868274156754,72.6548339315959,4.05001994664289,7779.02330575303,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1999,67.2931468647571,74.1364031131279,3.9868954180612,7924.22554278905,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2000,67.5492524707912,78.3042303456835,4.03799899694828,8163.600008056,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2001,67.8218018433451,77.9522873251019,4.0809923501945,8216.13081826709,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2015,71.9475233241941,86.6631966469176,NA,10330.0294567996,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2011,70.8841280025966,82.1824169314995,4.97587728318007,9726.6047357363,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,2012,71.1717237403955,84.8523477068123,5.00559389572707,9853.78165896384,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1996,66.5598177886206,NA,4.07126843173098,7523.61601244718,WLD,Aggregates,,,,Aggregates,Aggregates
1W,World,1997,66.8446347730819,NA,4.08269172596639,7690.92361498789,WLD,Aggregates,,,,Aggregates,Aggregates
