Name (Latin),Name (English),Name (Cyrillic),Gender,Flights,Fate,Notes
Dezik,Dezik,Дезик,Male,"1951-07-22,1951-07-29",Died 1951-07-29,
Tsygan,Gypsy,Цыган,Male,1951-07-22,Survived,Adopted as a pet by Soviet physicist Anatoli Blagonravov
Lisa,Fox,Лиса,Female,1951-07-29,Died 1951-07-29,
Chizhik,Siskin,Чижик,Male,"1951-08-15,1951-08-28",Died 1951-08-28,
Mishka,Little Bear,Мишка,Male,"1951-08-15,1951-08-28",Died 1951-08-28,
Ryzhik,Ginger,Рыжик,Male,1951-08-19,Survived,
Smeliy,Courageous,Смелая,Male,1951-08-19,Survived,
Neputeviy,Scamp,Непутёвый,Male,1951-09-03,Survived,
ZIB,Substitute for Missing Bobik,Замена Исчезнувшему Бобику,Male,1951-09-03,Survived,"An untrained street dog found running around the barracks, captured after Bobik ran away days before his flight."
Lisa-2,Fox,Лиса,Female,"1951-06-26,1954-07-26,1955-02-05",Died 1955-02-05,
Ryzhik-2,Ginger,Рыжик,Male,"1951-06-26,1954-07-07",Died 1954-07-07,
Damka,Little Lady,Дамка,Female,"1954-07-02,1954-07-07",Survived,
Mishka-2,Little Bear,Мишка,Male,1954-07-02,Died 1954-07-02,
Ryzhik-3,Ginger,Рыжик,Male,1954-07-26,Survived,
Rita,Rita,Рита,Female,1955-01-25,Died 1955-01-25 or 1955-06-25,
Linda,Linda,Лида,Female,"1955-01-25,1956-05-31",Survived,
Bulba,Bulba,Бульба,Female,1955-02-05,Died 1955-02-05,
Knopka,Button,Кнопка,Female,"1955-11-04,1958-10-31",Died 1958-10-31,
Malyshka,Little One,Малышка,Female,"1955-11-04,1956-05-31",Survived,
Albina,Whitey,Альбина,Female,"1956-05-14,1956-06-07,1956-06-14",Survived,
Kozyavka,Little Gnat,Козявка,Female,"1956-05-14,1956-06-07,1956-06-14,1958-09-19",Survived,
Damka-2,Little Lady,Дамка,Female,"1957-05-16,1957-08-31,1958-09-19",Survived,
Dzhoyna,Dzhoyna,Джойна,Female,1957-05-24,Died 1957-05-24,
Ryzhaya,Redhead,Рыжая,Female,"1957-05-16,1957-05-24",Died 1957-05-24,
Belka,Squirrel,Белка,Female,"1957-08-25,1957-08-31,1957-09-06,1960-08-19",Survived,
Modnitsa,Fashionable,Модница,Female,"1957-08-25,1957-09-06",Survived,
Laika,Barker,Лайка,Female,1957-11-03,Died 1957-11-03,Also known as Kudryavka (Little Curly) and Limonchik (Little Lemon) and Zhuchka (Little Beetle) and also Muttnik
Palma,Palm,Пальма,Female,1958-02-21,Died 1958-02-21,
Pushok,Fluffy,Пушок,Male,1958-02-21,Died 1958-02-21,
Kusachka / Otvazhnaya,Biter / Brave One,Отважная,Female,"1959-07-02,1959-07-10,1960-06-15,1960-06-24,1960-09-22,1958-08-13,1958-08-02",Survived,Made the most flights of any space dog.
Palma-2,Palm,Пальма,Female,"1958-08-02,1958-08-13,1960-09-16",Survived,
Belyanka,Little Whitey,Белянка,Female,1958-08-27,Survived,
Pestraya,Spotted,Пестрая,Female,1958-08-27,Survived,
Zhulba,Zhulba,Жульба,Female,1958-10-31,Died 1958-10-31,
Snezhinka / Zhemchuzhnaya,Snowflake / Pearly,Снежинка / Жемчужная,Female,"1959-07-02,1959-07-10,1960-06-24",Survived,
Malyok,Small Fry,Малёк,Male,"1960-06-15,1960-09-16",Survived,
Lisichka,Little Fox,Лисичка,Female,1960-07-28,Died 1960-07-28,
Bars / Chaika,Panther / Seagull,Барс / Чайка,Female,1960-07-28,Died 1960-07-28,
Strelka,Little Arrow,Стрелка,Female,1960-08-19,Survived,"Went on to have six puppies with a male dog named Pushok who participated in many ground-based space experiments, but never made it into space. One of the pups was named Pushinka (Пушинка, ""Fluffy"") and was presented to President John F. Kennedy by Nikita Khrushchev in 1961. A Cold War romance bloomed between Pushinka and a Kennedy dog named Charlie, resulting in the birth of four pups that JFK referred to jokingly as pupniks. Two of their pups, Butterfly and Streaker were given away to children in the Midwest. The other two puppies, White Tips and Blackie, stayed at the Kennedy home on Squaw Island but were eventually given away to family friends."
Neva,Neva,Нева,Female,1960-09-22,Survived,
Mushka,Little Fly,Мушка,Female,1960-12-01,Died 1960-12-01,
Pchyolka,Little Bee,Пчёлка,Female,1960-12-01,Died 1960-12-01,
Shutka,Joke,Шутка,Female,1960-12-22,Survived,"Also known as Damka (Little Lady) and Zhemchuzhina (Pearl). Adopted by Oleg Gazenko, a leading Soviet space scientist. She went on to have puppies and continued living with Gazenko and his family until her death 14 years later."
Chernuskha,Blackie,Чернушка,Female,1961-03-09,Survived,
Kometka,Comet,Кометка,Female,1960-12-22,Survived,Also known as Krasavka (Cheater) and Zhulka (Beauty) and Zhemchuzhnaya (Pearly) and Snezchinka (Snowflake)
Zvezdochka,Little Star,Звёздочка,Female,1961-03-25,Survived,
Ugolyok / Snezhok,Little Piece of Coal / Snowball,Уголёк / Снежок,Male,1966-02-22,Survived,
Veterok / Bzdunok,Little Wind / Little Fart,Ветерок / Вздунок,Male,1966-02-22,Survived,
