year,state,month,month_name,unemployment,date,region,division
2016,Alabama,12,December,5.7,2016-12-01,South,East South Central
2016,Alabama,11,November,5.8,2016-11-01,South,East South Central
2016,Alabama,10,October,5.9,2016-10-01,South,East South Central
2016,Alabama,9,September,5.9,2016-09-01,South,East South Central
2016,Alabama,8,August,5.8,2016-08-01,South,East South Central
2016,Alabama,7,July,5.8,2016-07-01,South,East South Central
2016,Alabama,6,June,5.8,2016-06-01,South,East South Central
2016,Alabama,5,May,5.8,2016-05-01,South,East South Central
2016,Alabama,4,April,5.9,2016-04-01,South,East South Central
2016,Alabama,3,March,5.9,2016-03-01,South,East South Central
2016,Alabama,2,February,6,2016-02-01,South,East South Central
2016,Alabama,1,January,6,2016-01-01,South,East South Central
2015,Alabama,12,December,6,2015-12-01,South,East South Central
2015,Alabama,11,November,6,2015-11-01,South,East South Central
2015,Alabama,10,October,6,2015-10-01,South,East South Central
2015,Alabama,9,September,6.1,2015-09-01,South,East South Central
2015,Alabama,8,August,6.1,2015-08-01,South,East South Central
2015,Alabama,7,July,6.1,2015-07-01,South,East South Central
2015,Alabama,6,June,6.2,2015-06-01,South,East South Central
2015,Alabama,5,May,6.2,2015-05-01,South,East South Central
2015,Alabama,4,April,6.1,2015-04-01,South,East South Central
2015,Alabama,3,March,6.1,2015-03-01,South,East South Central
2015,Alabama,2,February,6.1,2015-02-01,South,East South Central
2015,Alabama,1,January,6.1,2015-01-01,South,East South Central
2014,Alabama,12,December,6.1,2014-12-01,South,East South Central
2014,Alabama,11,November,6.2,2014-11-01,South,East South Central
2014,Alabama,10,October,6.4,2014-10-01,South,East South Central
2014,Alabama,9,September,6.5,2014-09-01,South,East South Central
2014,Alabama,8,August,6.6,2014-08-01,South,East South Central
2014,Alabama,7,July,6.7,2014-07-01,South,East South Central
2014,Alabama,6,June,6.9,2014-06-01,South,East South Central
2014,Alabama,5,May,7,2014-05-01,South,East South Central
2014,Alabama,4,April,7.1,2014-04-01,South,East South Central
2014,Alabama,3,March,7.2,2014-03-01,South,East South Central
2014,Alabama,2,February,7.2,2014-02-01,South,East South Central
2014,Alabama,1,January,7.3,2014-01-01,South,East South Central
2013,Alabama,12,December,7.3,2013-12-01,South,East South Central
2013,Alabama,11,November,7.2,2013-11-01,South,East South Central
2013,Alabama,10,October,7.2,2013-10-01,South,East South Central
2013,Alabama,9,September,7.2,2013-09-01,South,East South Central
2013,Alabama,8,August,7.1,2013-08-01,South,East South Central
2013,Alabama,7,July,7.1,2013-07-01,South,East South Central
2013,Alabama,6,June,7,2013-06-01,South,East South Central
2013,Alabama,5,May,7.1,2013-05-01,South,East South Central
2013,Alabama,4,April,7.2,2013-04-01,South,East South Central
2013,Alabama,3,March,7.3,2013-03-01,South,East South Central
2013,Alabama,2,February,7.4,2013-02-01,South,East South Central
2013,Alabama,1,January,7.5,2013-01-01,South,East South Central
2012,Alabama,12,December,7.6,2012-12-01,South,East South Central
2012,Alabama,11,November,7.6,2012-11-01,South,East South Central
2012,Alabama,10,October,7.8,2012-10-01,South,East South Central
2012,Alabama,9,September,7.9,2012-09-01,South,East South Central
2012,Alabama,8,August,8.1,2012-08-01,South,East South Central
2012,Alabama,7,July,8.2,2012-07-01,South,East South Central
2012,Alabama,6,June,8.3,2012-06-01,South,East South Central
2012,Alabama,5,May,8.2,2012-05-01,South,East South Central
2012,Alabama,4,April,8.1,2012-04-01,South,East South Central
2012,Alabama,3,March,8,2012-03-01,South,East South Central
2012,Alabama,2,February,7.9,2012-02-01,South,East South Central
2012,Alabama,1,January,8.1,2012-01-01,South,East South Central
2011,Alabama,12,December,8.3,2011-12-01,South,East South Central
2011,Alabama,11,November,8.6,2011-11-01,South,East South Central
2011,Alabama,10,October,9,2011-10-01,South,East South Central
2011,Alabama,9,September,9.4,2011-09-01,South,East South Central
2011,Alabama,8,August,9.7,2011-08-01,South,East South Central
2011,Alabama,7,July,9.9,2011-07-01,South,East South Central
2011,Alabama,6,June,10,2011-06-01,South,East South Central
2011,Alabama,5,May,10,2011-05-01,South,East South Central
2011,Alabama,4,April,10,2011-04-01,South,East South Central
2011,Alabama,3,March,10.1,2011-03-01,South,East South Central
2011,Alabama,2,February,10.2,2011-02-01,South,East South Central
2011,Alabama,1,January,10.2,2011-01-01,South,East South Central
2010,Alabama,12,December,10.3,2010-12-01,South,East South Central
2010,Alabama,11,November,10.2,2010-11-01,South,East South Central
2010,Alabama,10,October,10.1,2010-10-01,South,East South Central
2010,Alabama,9,September,10,2010-09-01,South,East South Central
2010,Alabama,8,August,9.9,2010-08-01,South,East South Central
2010,Alabama,7,July,10,2010-07-01,South,East South Central
2010,Alabama,6,June,10.1,2010-06-01,South,East South Central
2010,Alabama,5,May,10.4,2010-05-01,South,East South Central
2010,Alabama,4,April,10.8,2010-04-01,South,East South Central
2010,Alabama,3,March,11.4,2010-03-01,South,East South Central
2010,Alabama,2,February,11.6,2010-02-01,South,East South Central
2010,Alabama,1,January,11.7,2010-01-01,South,East South Central
2009,Alabama,12,December,11.8,2009-12-01,South,East South Central
2009,Alabama,11,November,11.8,2009-11-01,South,East South Central
2009,Alabama,10,October,11.8,2009-10-01,South,East South Central
2009,Alabama,9,September,11.7,2009-09-01,South,East South Central
2009,Alabama,8,August,11.6,2009-08-01,South,East South Central
2009,Alabama,7,July,11.5,2009-07-01,South,East South Central
2009,Alabama,6,June,11.3,2009-06-01,South,East South Central
2009,Alabama,5,May,11,2009-05-01,South,East South Central
2009,Alabama,4,April,10.7,2009-04-01,South,East South Central
2009,Alabama,3,March,10.2,2009-03-01,South,East South Central
2009,Alabama,2,February,9.6,2009-02-01,South,East South Central
2009,Alabama,1,January,8.9,2009-01-01,South,East South Central
2008,Alabama,12,December,8.1,2008-12-01,South,East South Central
2008,Alabama,11,November,7.4,2008-11-01,South,East South Central
2008,Alabama,10,October,6.7,2008-10-01,South,East South Central
2008,Alabama,9,September,6.2,2008-09-01,South,East South Central
2008,Alabama,8,August,5.9,2008-08-01,South,East South Central
2008,Alabama,7,July,5.6,2008-07-01,South,East South Central
2008,Alabama,6,June,5.3,2008-06-01,South,East South Central
2008,Alabama,5,May,5.1,2008-05-01,South,East South Central
2008,Alabama,4,April,4.8,2008-04-01,South,East South Central
2008,Alabama,3,March,4.6,2008-03-01,South,East South Central
2008,Alabama,2,February,4.5,2008-02-01,South,East South Central
2008,Alabama,1,January,4.4,2008-01-01,South,East South Central
2007,Alabama,12,December,4.3,2007-12-01,South,East South Central
2007,Alabama,11,November,4.3,2007-11-01,South,East South Central
2007,Alabama,10,October,4.2,2007-10-01,South,East South Central
2007,Alabama,9,September,4.1,2007-09-01,South,East South Central
2007,Alabama,8,August,4,2007-08-01,South,East South Central
2007,Alabama,7,July,3.9,2007-07-01,South,East South Central
2007,Alabama,6,June,3.8,2007-06-01,South,East South Central
2007,Alabama,5,May,3.8,2007-05-01,South,East South Central
2007,Alabama,4,April,3.8,2007-04-01,South,East South Central
2007,Alabama,3,March,3.8,2007-03-01,South,East South Central
2007,Alabama,2,February,3.8,2007-02-01,South,East South Central
2007,Alabama,1,January,3.9,2007-01-01,South,East South Central
2006,Alabama,12,December,3.9,2006-12-01,South,East South Central
2006,Alabama,11,November,4,2006-11-01,South,East South Central
2006,Alabama,10,October,4,2006-10-01,South,East South Central
2006,Alabama,9,September,4.1,2006-09-01,South,East South Central
2006,Alabama,8,August,4.1,2006-08-01,South,East South Central
2006,Alabama,7,July,4.1,2006-07-01,South,East South Central
2006,Alabama,6,June,4.1,2006-06-01,South,East South Central
2006,Alabama,5,May,4.1,2006-05-01,South,East South Central
2006,Alabama,4,April,4.1,2006-04-01,South,East South Central
2006,Alabama,3,March,4.1,2006-03-01,South,East South Central
2006,Alabama,2,February,4.1,2006-02-01,South,East South Central
2006,Alabama,1,January,4.1,2006-01-01,South,East South Central
2016,Alaska,12,December,7,2016-12-01,West,Pacific
2016,Alaska,11,November,7,2016-11-01,West,Pacific
2016,Alaska,10,October,7,2016-10-01,West,Pacific
2016,Alaska,9,September,7,2016-09-01,West,Pacific
2016,Alaska,8,August,7,2016-08-01,West,Pacific
2016,Alaska,7,July,7,2016-07-01,West,Pacific
2016,Alaska,6,June,6.9,2016-06-01,West,Pacific
2016,Alaska,5,May,6.9,2016-05-01,West,Pacific
2016,Alaska,4,April,6.8,2016-04-01,West,Pacific
2016,Alaska,3,March,6.8,2016-03-01,West,Pacific
2016,Alaska,2,February,6.8,2016-02-01,West,Pacific
2016,Alaska,1,January,6.7,2016-01-01,West,Pacific
2015,Alaska,12,December,6.7,2015-12-01,West,Pacific
2015,Alaska,11,November,6.6,2015-11-01,West,Pacific
2015,Alaska,10,October,6.6,2015-10-01,West,Pacific
2015,Alaska,9,September,6.5,2015-09-01,West,Pacific
2015,Alaska,8,August,6.5,2015-08-01,West,Pacific
2015,Alaska,7,July,6.5,2015-07-01,West,Pacific
2015,Alaska,6,June,6.5,2015-06-01,West,Pacific
2015,Alaska,5,May,6.5,2015-05-01,West,Pacific
2015,Alaska,4,April,6.5,2015-04-01,West,Pacific
2015,Alaska,3,March,6.5,2015-03-01,West,Pacific
2015,Alaska,2,February,6.5,2015-02-01,West,Pacific
2015,Alaska,1,January,6.5,2015-01-01,West,Pacific
2014,Alaska,12,December,6.5,2014-12-01,West,Pacific
2014,Alaska,11,November,6.6,2014-11-01,West,Pacific
2014,Alaska,10,October,6.7,2014-10-01,West,Pacific
2014,Alaska,9,September,6.8,2014-09-01,West,Pacific
2014,Alaska,8,August,6.9,2014-08-01,West,Pacific
2014,Alaska,7,July,6.9,2014-07-01,West,Pacific
2014,Alaska,6,June,7,2014-06-01,West,Pacific
2014,Alaska,5,May,7,2014-05-01,West,Pacific
2014,Alaska,4,April,7,2014-04-01,West,Pacific
2014,Alaska,3,March,7,2014-03-01,West,Pacific
2014,Alaska,2,February,7,2014-02-01,West,Pacific
2014,Alaska,1,January,7,2014-01-01,West,Pacific
2013,Alaska,12,December,7,2013-12-01,West,Pacific
2013,Alaska,11,November,7,2013-11-01,West,Pacific
2013,Alaska,10,October,7,2013-10-01,West,Pacific
2013,Alaska,9,September,7,2013-09-01,West,Pacific
2013,Alaska,8,August,7,2013-08-01,West,Pacific
2013,Alaska,7,July,7,2013-07-01,West,Pacific
2013,Alaska,6,June,7,2013-06-01,West,Pacific
2013,Alaska,5,May,7,2013-05-01,West,Pacific
2013,Alaska,4,April,7,2013-04-01,West,Pacific
2013,Alaska,3,March,7,2013-03-01,West,Pacific
2013,Alaska,2,February,7,2013-02-01,West,Pacific
2013,Alaska,1,January,7,2013-01-01,West,Pacific
2012,Alaska,12,December,7,2012-12-01,West,Pacific
2012,Alaska,11,November,7,2012-11-01,West,Pacific
2012,Alaska,10,October,7,2012-10-01,West,Pacific
2012,Alaska,9,September,7,2012-09-01,West,Pacific
2012,Alaska,8,August,7,2012-08-01,West,Pacific
2012,Alaska,7,July,7.1,2012-07-01,West,Pacific
2012,Alaska,6,June,7.1,2012-06-01,West,Pacific
2012,Alaska,5,May,7.2,2012-05-01,West,Pacific
2012,Alaska,4,April,7.2,2012-04-01,West,Pacific
2012,Alaska,3,March,7.3,2012-03-01,West,Pacific
2012,Alaska,2,February,7.3,2012-02-01,West,Pacific
2012,Alaska,1,January,7.4,2012-01-01,West,Pacific
2011,Alaska,12,December,7.4,2011-12-01,West,Pacific
2011,Alaska,11,November,7.5,2011-11-01,West,Pacific
2011,Alaska,10,October,7.5,2011-10-01,West,Pacific
2011,Alaska,9,September,7.5,2011-09-01,West,Pacific
2011,Alaska,8,August,7.5,2011-08-01,West,Pacific
2011,Alaska,7,July,7.5,2011-07-01,West,Pacific
2011,Alaska,6,June,7.5,2011-06-01,West,Pacific
2011,Alaska,5,May,7.6,2011-05-01,West,Pacific
2011,Alaska,4,April,7.6,2011-04-01,West,Pacific
2011,Alaska,3,March,7.7,2011-03-01,West,Pacific
2011,Alaska,2,February,7.7,2011-02-01,West,Pacific
2011,Alaska,1,January,7.8,2011-01-01,West,Pacific
2010,Alaska,12,December,7.8,2010-12-01,West,Pacific
2010,Alaska,11,November,7.8,2010-11-01,West,Pacific
2010,Alaska,10,October,7.8,2010-10-01,West,Pacific
2010,Alaska,9,September,7.8,2010-09-01,West,Pacific
2010,Alaska,8,August,7.8,2010-08-01,West,Pacific
2010,Alaska,7,July,7.8,2010-07-01,West,Pacific
2010,Alaska,6,June,7.8,2010-06-01,West,Pacific
2010,Alaska,5,May,7.9,2010-05-01,West,Pacific
2010,Alaska,4,April,8,2010-04-01,West,Pacific
2010,Alaska,3,March,8,2010-03-01,West,Pacific
2010,Alaska,2,February,8,2010-02-01,West,Pacific
2010,Alaska,1,January,8,2010-01-01,West,Pacific
2009,Alaska,12,December,8,2009-12-01,West,Pacific
2009,Alaska,11,November,8,2009-11-01,West,Pacific
2009,Alaska,10,October,8,2009-10-01,West,Pacific
2009,Alaska,9,September,8,2009-09-01,West,Pacific
2009,Alaska,8,August,8,2009-08-01,West,Pacific
2009,Alaska,7,July,7.9,2009-07-01,West,Pacific
2009,Alaska,6,June,7.8,2009-06-01,West,Pacific
2009,Alaska,5,May,7.7,2009-05-01,West,Pacific
2009,Alaska,4,April,7.6,2009-04-01,West,Pacific
2009,Alaska,3,March,7.4,2009-03-01,West,Pacific
2009,Alaska,2,February,7.3,2009-02-01,West,Pacific
2009,Alaska,1,January,7.1,2009-01-01,West,Pacific
2008,Alaska,12,December,7,2008-12-01,West,Pacific
2008,Alaska,11,November,6.9,2008-11-01,West,Pacific
2008,Alaska,10,October,6.8,2008-10-01,West,Pacific
2008,Alaska,9,September,6.8,2008-09-01,West,Pacific
2008,Alaska,8,August,6.7,2008-08-01,West,Pacific
2008,Alaska,7,July,6.7,2008-07-01,West,Pacific
2008,Alaska,6,June,6.7,2008-06-01,West,Pacific
2008,Alaska,5,May,6.7,2008-05-01,West,Pacific
2008,Alaska,4,April,6.6,2008-04-01,West,Pacific
2008,Alaska,3,March,6.6,2008-03-01,West,Pacific
2008,Alaska,2,February,6.5,2008-02-01,West,Pacific
2008,Alaska,1,January,6.5,2008-01-01,West,Pacific
2007,Alaska,12,December,6.4,2007-12-01,West,Pacific
2007,Alaska,11,November,6.4,2007-11-01,West,Pacific
2007,Alaska,10,October,6.4,2007-10-01,West,Pacific
2007,Alaska,9,September,6.4,2007-09-01,West,Pacific
2007,Alaska,8,August,6.4,2007-08-01,West,Pacific
2007,Alaska,7,July,6.4,2007-07-01,West,Pacific
2007,Alaska,6,June,6.3,2007-06-01,West,Pacific
2007,Alaska,5,May,6.3,2007-05-01,West,Pacific
2007,Alaska,4,April,6.3,2007-04-01,West,Pacific
2007,Alaska,3,March,6.3,2007-03-01,West,Pacific
2007,Alaska,2,February,6.3,2007-02-01,West,Pacific
2007,Alaska,1,January,6.3,2007-01-01,West,Pacific
2006,Alaska,12,December,6.4,2006-12-01,West,Pacific
2006,Alaska,11,November,6.4,2006-11-01,West,Pacific
2006,Alaska,10,October,6.5,2006-10-01,West,Pacific
2006,Alaska,9,September,6.5,2006-09-01,West,Pacific
2006,Alaska,8,August,6.5,2006-08-01,West,Pacific
2006,Alaska,7,July,6.6,2006-07-01,West,Pacific
2006,Alaska,6,June,6.6,2006-06-01,West,Pacific
2006,Alaska,5,May,6.7,2006-05-01,West,Pacific
2006,Alaska,4,April,6.7,2006-04-01,West,Pacific
2006,Alaska,3,March,6.8,2006-03-01,West,Pacific
2006,Alaska,2,February,6.9,2006-02-01,West,Pacific
2006,Alaska,1,January,6.9,2006-01-01,West,Pacific
2016,Arizona,12,December,5.2,2016-12-01,West,Mountain
2016,Arizona,11,November,5.2,2016-11-01,West,Mountain
2016,Arizona,10,October,5.2,2016-10-01,West,Mountain
2016,Arizona,9,September,5.2,2016-09-01,West,Mountain
2016,Arizona,8,August,5.3,2016-08-01,West,Mountain
2016,Arizona,7,July,5.3,2016-07-01,West,Mountain
2016,Arizona,6,June,5.4,2016-06-01,West,Mountain
2016,Arizona,5,May,5.4,2016-05-01,West,Mountain
2016,Arizona,4,April,5.5,2016-04-01,West,Mountain
2016,Arizona,3,March,5.5,2016-03-01,West,Mountain
2016,Arizona,2,February,5.6,2016-02-01,West,Mountain
2016,Arizona,1,January,5.7,2016-01-01,West,Mountain
2015,Arizona,12,December,5.7,2015-12-01,West,Mountain
2015,Arizona,11,November,5.8,2015-11-01,West,Mountain
2015,Arizona,10,October,5.8,2015-10-01,West,Mountain
2015,Arizona,9,September,5.9,2015-09-01,West,Mountain
2015,Arizona,8,August,6,2015-08-01,West,Mountain
2015,Arizona,7,July,6,2015-07-01,West,Mountain
2015,Arizona,6,June,6,2015-06-01,West,Mountain
2015,Arizona,5,May,6.1,2015-05-01,West,Mountain
2015,Arizona,4,April,6.2,2015-04-01,West,Mountain
2015,Arizona,3,March,6.3,2015-03-01,West,Mountain
2015,Arizona,2,February,6.3,2015-02-01,West,Mountain
2015,Arizona,1,January,6.4,2015-01-01,West,Mountain
2014,Arizona,12,December,6.5,2014-12-01,West,Mountain
2014,Arizona,11,November,6.5,2014-11-01,West,Mountain
2014,Arizona,10,October,6.6,2014-10-01,West,Mountain
2014,Arizona,9,September,6.6,2014-09-01,West,Mountain
2014,Arizona,8,August,6.6,2014-08-01,West,Mountain
2014,Arizona,7,July,6.7,2014-07-01,West,Mountain
2014,Arizona,6,June,6.8,2014-06-01,West,Mountain
2014,Arizona,5,May,6.8,2014-05-01,West,Mountain
2014,Arizona,4,April,6.9,2014-04-01,West,Mountain
2014,Arizona,3,March,7,2014-03-01,West,Mountain
2014,Arizona,2,February,7.1,2014-02-01,West,Mountain
2014,Arizona,1,January,7.3,2014-01-01,West,Mountain
2013,Arizona,12,December,7.4,2013-12-01,West,Mountain
2013,Arizona,11,November,7.5,2013-11-01,West,Mountain
2013,Arizona,10,October,7.6,2013-10-01,West,Mountain
2013,Arizona,9,September,7.7,2013-09-01,West,Mountain
2013,Arizona,8,August,7.7,2013-08-01,West,Mountain
2013,Arizona,7,July,7.8,2013-07-01,West,Mountain
2013,Arizona,6,June,7.8,2013-06-01,West,Mountain
2013,Arizona,5,May,7.8,2013-05-01,West,Mountain
2013,Arizona,4,April,7.9,2013-04-01,West,Mountain
2013,Arizona,3,March,7.9,2013-03-01,West,Mountain
2013,Arizona,2,February,7.9,2013-02-01,West,Mountain
2013,Arizona,1,January,7.9,2013-01-01,West,Mountain
2012,Arizona,12,December,7.9,2012-12-01,West,Mountain
2012,Arizona,11,November,7.9,2012-11-01,West,Mountain
2012,Arizona,10,October,8,2012-10-01,West,Mountain
2012,Arizona,9,September,8.1,2012-09-01,West,Mountain
2012,Arizona,8,August,8.2,2012-08-01,West,Mountain
2012,Arizona,7,July,8.3,2012-07-01,West,Mountain
2012,Arizona,6,June,8.5,2012-06-01,West,Mountain
2012,Arizona,5,May,8.5,2012-05-01,West,Mountain
2012,Arizona,4,April,8.6,2012-04-01,West,Mountain
2012,Arizona,3,March,8.6,2012-03-01,West,Mountain
2012,Arizona,2,February,8.7,2012-02-01,West,Mountain
2012,Arizona,1,January,8.7,2012-01-01,West,Mountain
2011,Arizona,12,December,8.8,2011-12-01,West,Mountain
2011,Arizona,11,November,9,2011-11-01,West,Mountain
2011,Arizona,10,October,9.2,2011-10-01,West,Mountain
2011,Arizona,9,September,9.4,2011-09-01,West,Mountain
2011,Arizona,8,August,9.6,2011-08-01,West,Mountain
2011,Arizona,7,July,9.7,2011-07-01,West,Mountain
2011,Arizona,6,June,9.7,2011-06-01,West,Mountain
2011,Arizona,5,May,9.7,2011-05-01,West,Mountain
2011,Arizona,4,April,9.7,2011-04-01,West,Mountain
2011,Arizona,3,March,9.7,2011-03-01,West,Mountain
2011,Arizona,2,February,9.7,2011-02-01,West,Mountain
2011,Arizona,1,January,9.8,2011-01-01,West,Mountain
2010,Arizona,12,December,9.9,2010-12-01,West,Mountain
2010,Arizona,11,November,10,2010-11-01,West,Mountain
2010,Arizona,10,October,10.1,2010-10-01,West,Mountain
